prefix,group,source,round,source_cycle,execution_index,benchmark,cpu,raw_benchmark,iterations,ns_op,bytes_op,allocs_op,comparison,note,raw_file
r9,public,current,1,2,14,BenchmarkSessionValidateDisjointIdentityPaths/lexical,,BenchmarkSessionValidateDisjointIdentityPaths/lexical,14,16100637,176889,281,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateDisjointIdentityPaths/expanded,,BenchmarkSessionValidateDisjointIdentityPaths/expanded,8,28181245,155217,302,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_namespaces,,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_namespaces,6,37891820,3341497,32909,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_control,,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_control,6,34425431,543938,32357,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateExpandedIdentityPaths,,BenchmarkSessionValidateExpandedIdentityPaths,130,1837282,358645,2521,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateSharedExpandedIdentityPrefix/identity,,BenchmarkSessionValidateSharedExpandedIdentityPrefix/identity,13,18714176,4736334,19735,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateSharedExpandedIdentityPrefix/control,,BenchmarkSessionValidateSharedExpandedIdentityPrefix/control,21,11244562,4286,11,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileCountedChoiceDFA/small,,BenchmarkCompileCountedChoiceDFA/small,2534,88354,165144,661,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileCountedChoiceDFA/medium,,BenchmarkCompileCountedChoiceDFA/medium,1752,144500,231732,1263,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileCountedChoiceDFA/large,,BenchmarkCompileCountedChoiceDFA/large,1006,236514,331769,2149,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileSubstitutionGroups,,BenchmarkCompileSubstitutionGroups,327,725052,547112,1547,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileAttributeGroupFanout/refs_1,,BenchmarkCompileAttributeGroupFanout/refs_1,3336,62195,133536,338,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileAttributeGroupFanout/refs_10,,BenchmarkCompileAttributeGroupFanout/refs_10,2140,115644,172216,644,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileAttributeGroupFanout/refs_100,,BenchmarkCompileAttributeGroupFanout/refs_100,351,685417,611144,3092,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileAttributeGroupFanout/refs_1000,,BenchmarkCompileAttributeGroupFanout/refs_1000,34,7089939,5125013,27428,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileRegexCategoryEscapes,,BenchmarkCompileRegexCategoryEscapes,96,2736214,8319184,5415,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileDeepSimpleTypeChain,,BenchmarkCompileDeepSimpleTypeChain,63,4401634,2369619,12899,paired,,r9-public-1-current.txt
